company,date,price,change
WMT,2025-07-21,95.4470672607422,0.0
WMT,2025-07-22,95.62664794921876,0.0018814688982111
WMT,2025-07-23,95.45704650878906,-0.0017735792696587
WMT,2025-07-24,96.3749008178711,0.0096153646341605
WMT,2025-07-25,97.24288177490234,0.0090062967605182
WMT,2025-07-28,97.38255310058594,0.0014363141356392
WMT,2025-07-29,98.1008758544922,0.0073762982283314
WMT,2025-07-30,97.3625946044922,-0.0075257355611692
WMT,2025-07-31,97.75169372558594,0.0039963922764625
WMT,2025-08-01,98.260498046875,0.0052050691082388
WMT,2025-08-04,99.3579330444336,0.0111686284862413
WMT,2025-08-05,99.0785903930664,-0.0028114780854213
WMT,2025-08-06,103.11915588378906,0.0407814188180599
WMT,2025-08-07,102.87971496582033,-0.0023219829130349
