company,title,description,publishedAt,url
Amazon,The pillows Amazon shoppers swear by are on sale before Labor Day weekend,Hotel luxury without the minibar prices.,2025-08-20T16:48:19Z,https://nypost.com/2025/08/20/shopping/beckham-hotel-collection-pillows-2-pack-deal-amazon/
Amazon,"This 500W UGREEN desktop charger is an absolute powerhouse, now down to its lowest price at $200","Over at Amazon, you’ll find UGREEN’s official storefront offering its Nexode 500W USB-C charging station for $199.99 shipped. This relatively new charger recently launched at $250 before dipping to $220 for Prime members shortly after its debut. Today’s deal …",2025-08-20T16:48:05Z,http://9to5toys.com/2025/08/20/500w-ugreen-desktop-charger-down-to-its-lowest-price/
Amazon,"$18.70*: Amazon Basics 17"" Laptop Backpack (Black) at Amazon","Amazon [amazon.com] has *Amazon Basics 17"" Laptop Backpack *(Black) for $20.78 - $2.08 when you 'clip' the coupon on product page = *$18.70*. 
*Shipping is free* with Prime or on $35+ orders. 
...",2025-08-20T16:47:29Z,https://slickdeals.net/f/18543964-18-70-amazon-basics-17-laptop-backpack-black-at-amazon
Amazon,LISEN Ultra Magnetic Magsafe Car Mount Phone Holder (Burnished Silver) $6.99 + Free Shipping w/ Prime or on $35+,"LISEN Direct via Amazon [amazon.com] has *LISEN Ultra Magnetic Magsafe Car Mount Phone Holder for Car Dashboard* (Burnished Silver, iPhone 16 Pro/Pro Max, 15, 14, 13, 12) for $12.99 - $6 off when you...",2025-08-20T16:47:20Z,https://slickdeals.net/f/18543961-lisen-ultra-magnetic-magsafe-car-mount-phone-holder-burnished-silver-6-99-free-shipping-w-prime-or-on-35
Amazon,Chic on a budget: The OPI Gel Manicure System that pays for itself,"Recession nails, rich results.",2025-08-20T16:46:40Z,https://nypost.com/2025/08/20/shopping/nail-it-yourself-this-opi-gel-kit-will-save-you-hundreds-of-dollars/
Microsoft,"PlayStation 5 price shake-up hits US gamers, fans disappointed — here’s what you’ll pay starting August 21","Sony has increased the price of the PlayStation 5 in the U.S., effective August 21, citing global economic challenges like inflation and supply chain issues. The standard PS5 will now cost $549.99, and the Digital Edition will be $499.99. While accessories re…",2025-08-20T16:46:09Z,https://economictimes.indiatimes.com/news/international/us/playstation-5-price-shake-up-hits-us-gamers-fans-disappointed-heres-what-youll-pay-starting-august-21/articleshow/123414202.cms
Microsoft,NFL coaches could actually use A.I. play calling this season,A.I. is coming to the NFL.,2025-08-20T16:46:05Z,https://www.sbnation.com/nfl/1076483/nfl-playcalling-ai-microsoft
Microsoft,"Microsoft lock in a release date for their ROG Xbox Ally handhelds, but no price yet because macroeconomics","Xbox's handhelds have a confirmed release date, and yes, it's the one that leaked. As for how much the ROG Xbox Ally and ROG Xbox Ally X will cost you, Microsoft aren't sharing a price yet, because there are some macroeconomics to take into account, don't you…",2025-08-20T16:45:14Z,https://www.rockpapershotgun.com/microsoft-lock-in-a-release-date-for-their-rog-xbox-ally-handhelds-but-no-price-yet-because-macroeconomics
Microsoft,Why the NFL drafted Microsoft’s gen AI for the league’s next big play,"The NFL and Microsoft have been sharing a technology playbook for 12 years. But the latest drive will feature more generative artificial intelligence.
On Wednesday, the pair unveiled a multiyear partnership extension that includes the deployment of 2,500 Micr…",2025-08-20T16:41:08Z,https://biztoc.com/x/a5d4272a8e9cbe7a
Microsoft,Microsoft boss troubled by rise in reports of 'AI psychosis',"Mustafa Suleyman said there was still ""zero evidence of AI consciousness today"".",2025-08-20T16:36:03Z,https://www.bbc.com/news/articles/c24zdel5j18o
Walmart,Claire’s Gets $140 Million From IP White Knight to Save 795 Stores Across North America,"Ames Watson leads group to buy the Claire's business and save between 795 to 950 stores in North America, while the remaining doors will be shuttered.",2025-08-20T16:46:56Z,http://wwd.com/footwear-news/shoe-industry-news/claires-ames-watson-stores-north-america-acquisition-1238060087/
Walmart,Big box retailer Target names new CEO as business struggles,The promotion of the former CFO was not received well customers have shifted to competitors like Walmart.,2025-08-20T16:43:25Z,https://www.aljazeera.com/economy/2025/8/20/big-box-retailer-target-names-new-ceo-as-business-struggles
Walmart,Perplexity’s Comet AI browser tricked into buying fake items online,A study looking into agentic AI browsers has found that these emerging tools are vulnerable to both new and old schemes that could make them interact with malicious pages and prompts. [...],2025-08-20T16:31:13Z,https://www.bleepingcomputer.com/news/security/perplexitys-comet-ai-browser-tricked-into-buying-fake-items-online/
Walmart,McFarlane Toys Releases The Harley Quinn and Joker Mad Love Gold Label 2-Pack,"A new 2-pack figure set from McFarlane Toys / DC Direct has been released includes 6-inch scale figures of King and Queen of Gotham’s crime-ridden streets, The Joker and Harley Quinn. Straight from the television series, Batman the Animated Series, the set in…",2025-08-20T16:30:25Z,http://comicbook.com/gear/news/mcfarlane-toys-batman-tas-harley-quinn-and-joker-mad-love-2-pack/
Walmart,Walmart - Reebok Men’s Trail Quarter-Zip Active Pullover (Clearance) from $8.44 @ Walmart,"Enjoy!
Stark White [walmart.com] $8.44
Stark White (alt listing) [walmart.com] $8.44
Stark White Camo [walmart.com] $8.79
Stark White Camo (alt listing) [walmart.com] $8.79
Ebony Camo [walmart.com] $8",2025-08-20T16:29:07Z,https://slickdeals.net/f/18543901-walmart-reebok-men-s-trail-quarter-zip-active-pullover-clearance-from-8-44-walmart
